Vendor,Vendor Type,Amount,Due Date,Transaction Date,Transaction Description
"Vaughn, Pearson and Christian",Payroll Provider,4572.17,31/10/2024,28/09/2024,Monthly payroll service fee - 54 employees
"Manning, Hamilton and Fernandez",Consulting,1730.27,06/01/2025,09/12/2024,External expert engagement - operational efficiency
Cummings Group,Rent,5356.78,04/12/2024,07/11/2024,Quarterly rent - Cortezmouth headquarters
"Sanders, Vasquez and Elliott",Rent,5466.5,23/03/2025,15/03/2025,Monthly office rent payment - Port Connor branch
Reyes-Green,Rent,2890.86,20/03/2025,21/01/2025,Quarterly rent - Rosshaven headquarters
James-Smith,Utilities,8743.89,20/06/2025,05/05/2025,Water and waste utility fee - Martinezhaven facility
"Gross, Bush and Weaver",Software,4480.92,11/09/2025,29/07/2025,Billing for API usage - developer plan
Gamble-Finley,Payroll Provider,2363.39,17/09/2025,29/07/2025,Direct deposit processing - contractor payroll
Jackson Group,Payroll Provider,4997.92,05/12/2024,18/11/2024,Payroll charges for hourly workers - Graymouth site
"Harrington, Rangel and Mcbride",Supplies,1628.69,05/10/2024,24/08/2024,"Monthly supply restocking - pens, paper, toner"
Nelson LLC,Consulting,7652.83,29/03/2025,13/02/2025,Project-based consulting fee - West Roy office
Ross-Deleon,Utilities,2274.69,13/11/2024,13/11/2024,Phone and data plan charges - office use
Oneal-Sanchez,Supplies,6348.51,14/11/2024,04/10/2024,Order of printer cartridges - Cookberg office
"Gaines, Reyes and Hill",Rent,7778.15,29/07/2025,19/07/2025,Quarterly rent - Hillborough headquarters
"Bush, Ross and Wells",Supplies,6391.63,18/07/2025,23/05/2025,Breakroom and pantry supplies - monthly refill
Black Group,Legal,9823.08,27/06/2025,26/05/2025,Document preparation and filing - legal team
"Carter, Armstrong and Sparks",Utilities,3984.32,10/12/2024,27/11/2024,Phone and data plan charges - office use
Burns Ltd,Payroll Provider,643.83,24/11/2024,01/11/2024,Salary payment facilitation - full-time staff
"Jensen, Morse and Hill",Utilities,8956.93,31/05/2025,23/05/2025,Heating and cooling costs - company premises
Johnson Ltd,Legal,6320.07,27/08/2025,15/07/2025,Legal advisory services - compliance audit
Andrade and Sons,Legal,1375.35,23/10/2024,25/09/2024,Legal advisory services - compliance audit
Johnson LLC,Utilities,1019.59,12/03/2025,27/01/2025,Water and waste utility fee - North Taylorview facility
Bruce LLC,Software,1968.42,16/06/2025,01/05/2025,Recurring license fee for SaaS product
"Lopez, Russell and Fletcher",Rent,655.02,30/03/2025,24/03/2025,Monthly office rent payment - Williamsmouth branch
Gomez-Murphy,Payroll Provider,4055.01,07/03/2025,22/01/2025,Monthly payroll service fee - 124 employees
Henderson-Robinson,Legal,7677.83,21/05/2025,21/05/2025,Document preparation and filing - legal team
Parker PLC,Consulting,3050.55,13/09/2025,27/07/2025,Project-based consulting fee - Lake Kathryn office
"Eaton, Woods and Pierce",Payroll Provider,1158.06,12/04/2025,10/04/2025,Monthly payroll service fee - 133 employees
"Johnson, Potter and Smith",Legal,1638.1,23/12/2024,04/12/2024,Document preparation and filing - legal team
Howell-Wilson,Consulting,2271.32,16/06/2025,27/04/2025,Project-based consulting fee - Lake David office
Adams PLC,Utilities,3228.36,29/01/2025,30/12/2024,Phone and data plan charges - office use
